"DisplayName","InstallLocation"
"NVIDIA Session Container","C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.Session.{5DAE2F3A-2A3F-45A9-AC59-DD3FCC1DB7DF}"
"NVIDIA User Container","C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.User.{28448383-993E-4E84-98EA-DD2C0A832B56}"
"Disassembler","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"NVIDIA NvDLISR","C:\Program Files\NVIDIA Corporation\Installer2\NvDLISR.{1E97B5CE-C6AC-413E-B1EE-F036ED184830}"
"NVFATBIN Runtime","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"NVJITLINK Runtime","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"NVJPEG Runtime","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"NVJPEG Development","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"NVML Development","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"NVIDIA Platform Controllers and Framework","C:\Program Files\NVIDIA Corporation\Installer2\NVPCF.{8BAE7D5D-E702-4351-BA2C-52285C89F193}"
"NVIDIA Watchdog Plugin for NvContainer","C:\Program Files\NVIDIA Corporation\Installer2\NvPlugin.Watchdog.{823BDE78-A7EE-4EA2-B735-1F4FD51D3072}"
"CUDA Profiler Tools","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"nvprune","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"NVRTC Runtime","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"NVRTC Development","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"NVIDIA Telemetry Client","C:\Program Files\NVIDIA Corporation\NvTelemetry"
"NVTX Development","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"Occupancy Calculator","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v11.8"
"Occupancy Calculator","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"OPENCL Runtime","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"Compute Sanitizer","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
